Timestamp,NT:/Pose/.type,NT:/Pose/robotPose,NT:/Pose/robotPose/0,NT:/Pose/robotPose/1,NT:/Pose/robotPose/2,NT:/Pose/robotPose/length
1.763594,"Field2d",null,null,null,null,null
9.074566,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2926068352891863],12.84576404494382,2.8426516853932586,0.2926068352891863,3
9.086783,"Field2d",[12.855848847723491; 2.8435141112610514; 0.2926068352891863],12.855848847723491,2.8435141112610514,0.2926068352891863,3
9.091352,"Field2d",[12.8558424766146; 2.843513565580053; 0.2926068352891863],12.8558424766146,2.843513565580053,0.2926068352891863,3
9.094391,"Field2d",[12.855820241067862; 2.8435116508813563; 0.2926068352891863],12.855820241067862,2.8435116508813563,0.2926068352891863,3
9.098925,"Field2d",[12.85587883937762; 2.84351656215141; 0.2926068689685869],12.85587883937762,2.84351656215141,0.2926068689685869,3
9.102858,"Field2d",[12.855834866831163; 2.8435127889089498; 0.2926069611437886],12.855834866831163,2.8435127889089498,0.2926069611437886,3
9.106415,"Field2d",[12.84550494441064; 2.840231389033465; 0.29260693012328814],12.84550494441064,2.840231389033465,0.29260693012328814,3
9.111325,"Field2d",[12.84547896980206; 2.8402231219804563; 0.29260697532458785],12.84547896980206,2.8402231219804563,0.29260697532458785,3
9.114506,"Field2d",[12.8454334000857; 2.84020857277955; 0.29246130694089506],12.8454334000857,2.84020857277955,0.29246130694089506,3
9.11828,"Field2d",[12.845470579010957; 2.8402204073220827; 0.2924618145862714],12.845470579010957,2.8402204073220827,0.2924618145862714,3
9.123353,"Field2d",[12.845486878436283; 2.8402255893634516; 0.29246203016170863],12.845486878436283,2.8402255893634516,0.29246203016170863,3
9.126378,"Field2d",[12.881523311885978; 2.7914073165335838; 0.29246248217471515],12.881523311885978,2.7914073165335838,0.29246248217471515,3
9.130851,"Field2d",[12.881701317791368; 2.791163022496668; 0.29246178677009066],12.881701317791368,2.791163022496668,0.29246178677009066,3
9.134264,"Field2d",[12.88133958377349; 2.7916548569477655; 0.29246302459032186],12.88133958377349,2.7916548569477655,0.29246302459032186,3
9.138756,"Field2d",[12.88134791337533; 2.791643396102283; 0.29246302459032186],12.88134791337533,2.791643396102283,0.29246302459032186,3
9.143382,"Field2d",[12.881236777812227; 2.791794932198247; 0.29246302459032186],12.881236777812227,2.791794932198247,0.29246302459032186,3
9.146397,"Field2d",[12.943567528379916; 2.6616452702531506; 0.29246302459032186],12.943567528379916,2.6616452702531506,0.29246302459032186,3
9.150287,"Field2d",[12.943749493997958; 2.661273407378491; 0.29246302459032186],12.943749493997958,2.661273407378491,0.29246302459032186,3
9.154798,"Field2d",[12.943651945846087; 2.661499764325959; 0.29246302459032186],12.943651945846087,2.661499764325959,0.29246302459032186,3
9.159936,"Field2d",[12.943796296474314; 2.6612124271963205; 0.29246302459032186],12.943796296474314,2.6612124271963205,0.29246302459032186,3
9.162492,"Field2d",[12.943229124512099; 2.6624232911690635; 0.29246302459032186],12.943229124512099,2.6624232911690635,0.29246302459032186,3
9.167029,"Field2d",[13.161311675844617; 2.9487943353540125; 0.29246302459032186],13.161311675844617,2.9487943353540125,0.29246302459032186,3
9.171421,"Field2d",[13.161727530907099; 2.9493250545537757; 0.29246302459032186],13.161727530907099,2.9493250545537757,0.29246302459032186,3
9.175057,"Field2d",[13.160753593729671; 2.9478033850863943; 0.29246302459032186],13.160753593729671,2.9478033850863943,0.29246302459032186,3
9.178343,"Field2d",[13.15968192672582; 2.946196332417296; 0.29246302459032186],13.15968192672582,2.946196332417296,0.29246302459032186,3
9.18262,"Field2d",[13.161438455119127; 2.948517270119886; 0.29246302459032186],13.161438455119127,2.948517270119886,0.29246302459032186,3
9.186768,"Field2d",[13.509498133945508; 3.638595567910002; 0.29246302459032186],13.509498133945508,3.638595567910002,0.29246302459032186,3
9.190522,"Field2d",[13.508284971472483; 3.636468276005052; 0.29246302459032186],13.508284971472483,3.636468276005052,0.29246302459032186,3
9.194673,"Field2d",[13.510145751545616; 3.640573358035031; 0.29246302459032186],13.510145751545616,3.640573358035031,0.29246302459032186,3
9.198768,"Field2d",[13.509423895136031; 3.6391125516853586; 0.29246302459032186],13.509423895136031,3.6391125516853586,0.29246302459032186,3
9.202241,"Field2d",[13.50791033519645; 3.6364764832533254; 0.29246302459032186],13.50791033519645,3.6364764832533254,0.29246302459032186,3
9.20677,"Field2d",[11.928168314291643; 3.5453597367845844; 0.29246302459032186],11.928168314291643,3.5453597367845844,0.29246302459032186,3
9.210324,"Field2d",[11.91965094102569; 3.548523437994724; 0.29246302459032186],11.91965094102569,3.548523437994724,0.29246302459032186,3
9.215323,"Field2d",[11.918391802637306; 3.5487225626559056; 0.2924631009484768],11.918391802637306,3.5487225626559056,0.2924631009484768,3
9.218867,"Field2d",[11.921733358242916; 3.5484379369749868; 0.29246308629043793],11.921733358242916,3.5484379369749868,0.29246308629043793,3
9.224132,"Field2d",[11.913415971720902; 3.550662243031496; 0.29246303652128436],11.913415971720902,3.550662243031496,0.29246303652128436,3
9.227104,"Field2d",[8.892637751934524; 2.3448268263937564; 0.2924630982214],8.892637751934524,2.3448268263937564,0.2924630982214,3
9.232157,"Field2d",[8.904506473251802; 2.3464328935802268; 0.29246307231416946],8.904506473251802,2.3464328935802268,0.29246307231416946,3
